category,company,location,start_date,duration,stipend,apply_by,applicants,skills_required,perks,openings,link
Social Work,InAmigos Foundation,"Work From Home,",Immediately,3 Weeks,Unpaid,3 Feb' 23,28.0,"English Proficiency (Spoken),","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",10.0,https://internshala.com/internship/detail/social-work-work-from-home-job-internship-at-inamigos-foundation1674162356
Volunteer Ambassador,Meer Foundation,"Work From Home,",Immediately,3 Months,Unpaid,4 Feb' 23,0.0,,"Letter of recommendation,Flexible work hours,",4.0,https://internshala.com/internship/detail/volunteer-ambassador-work-from-home-job-internship-at-meer-foundation1674212657
Curriculum Or Content Creation/Designing,Learning Initiatives For India,"Work From Home,",Immediately,3 Months,Unpaid,4 Feb' 23,0.0,"Creative Writing,Hindi Proficiency (Spoken),Hindi Proficiency (Written),MS-Office,","Certificate,Letter of recommendation,Flexible work hours,",2.0,https://internshala.com/internship/detail/curriculum-or-content-creation-designing-work-from-home-job-internship-at-learning-initiatives-for-india1674226444
Law/Legal,Sabr Foundation,"Work From Home,",Immediately,1 Month,Unpaid,4 Feb' 23,0.0,"English Proficiency (Spoken),English Proficiency (Written),MS-Word,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",90.0,https://internshala.com/internship/detail/law-legal-work-from-home-job-internship-at-sabr-foundation1674220767
Social Media Marketing,Itra Foundation,"Work From Home,",Immediately,3 Months,Unpaid,3 Feb' 23,0.0,"Facebook Marketing,Instagram Marketing,LinkedIn Marketing,Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",50.0,https://internshala.com/internship/detail/social-media-marketing-work-from-home-job-internship-at-itra-foundation1674199695
Social Media Marketing,Kshitiksha Foundation,"Work From Home,",Immediately,1 Month,Unpaid,3 Feb' 23,0.0,,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,",50.0,https://internshala.com/internship/detail/social-media-marketing-work-from-home-job-internship-at-kshitiksha-foundation1674187191
Campus Ambassador,Edvoy,"Delhi, Ghaziabad, Gurgaon, Greater Noida, Noida,",Immediately,3 Months,Performance Based,3 Feb' 23,0.0,"Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,",8.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-edvoy1674222618
Marketing,Suvidha Foundation,"Work From Home,",Immediately,4 Weeks,Unpaid,3 Feb' 23,0.0,"Sales and Marketing,","Certificate,Letter of recommendation,Flexible work hours,",8.0,https://internshala.com/internship/detail/marketing-work-from-home-job-internship-at-suvidha-foundation1673956761
Campus Ambassador,"Xpecto, IIT Mandi","Work From Home,",Immediately,1 Month,Performance Based,3 Feb' 23,0.0,,"Certificate,Flexible work hours,",20.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-xpecto-iit-mandi1673801622
Campus Ambassador,IIT Roorkee,"Work From Home,",Immediately,2 Months,Performance Based,3 Feb' 23,0.0,,"Certificate,Letter of recommendation,Flexible work hours,",150.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-iit-roorkee1674077409
